SRR15323735	SRR15323736	SRR15323737	SRR15323738	SRR15323739	SRR15323740	SRR15323741	SRR15323742	SRR15323743	SRR15323744	SRR15323745	SRR15323746	SRR15323747	SRR15323748	SRR15323749	SRR15323750	SRR15323751
ENSG00000007520	148	56	56	189	63	42	76	70	55	45	36	46	106	87	38	131	77
ENSG00000007541	119	33	24	190	34	14	53	116	21	40	25	39	33	147	47	114	36
ENSG00000007545	673	679	179	1895	132	149	357	407	216	208	230	123	622	380	203	428	253
ENSG00000007866	32	68	33	241	75	138	28	76	15	34	0	5	35	102	30	110	21
ENSG00000007908	3	1	0	0	3	1	1	0	0	0	0	0	1	1	1	4	0
ENSG00000007923	296	157	95	461	54	45	157	63	133	31	66	75	159	134	77	287	118
ENSG00000007933	23	3	1	2	4	0	2	0	0	15	6	3	2	0	1	3	0
ENSG00000007944	115	171	438	116	54	1083	115	133	102	35	31	16	89	37	28	46	37
ENSG00000007952	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007968	228	413	76	521	68	100	88	55	107	140	37	48	166	99	39	119	65
ENSG00000008018	725	448	365	790	722	300	647	307	563	181	264	144	423	204	132	320	213
ENSG00000008056	145	253	50	452	21	7	147	217	99	22	79	26	28	55	44	118	45
ENSG00000008083	374	1070	413	2015	505	548	458	1357	448	676	370	391	371	279	171	463	217
ENSG00000008086	468	854	417	1317	490	701	654	671	729	198	273	63	410	278	161	236	258
ENSG00000008118	20	18	1	5	0	0	18	76	20	1	1	2	1	1	1	12	3
ENSG00000008128	97	99	25	356	10	54	78	37	44	39	5	13	60	24	36	11	31
ENSG00000008130	436	344	174	655	118	121	230	155	162	96	136	76	296	247	151	293	192
ENSG00000008196	0	3	0	4	0	0	2	14	1	0	0	0	63	124	3	39	0
ENSG00000008197	19	126	0	1	0	0	0	315	6	0	0	0	17	5	39	2	5
ENSG00000008226	5	7	13	15	5	0	7	5	0	0	4	0	38	0	0	8	6
ENSG00000008256	1084	478	232	763	141	113	374	452	306	119	187	97	406	203	110	169	120
ENSG00000008277	1533	583	88	1486	415	389	1391	1080	1604	798	888	261	824	247	105	487	295
ENSG00000008282	162	80	36	132	77	50	138	102	87	128	65	166	220	184	54	134	77
ENSG00000008283	328	128	46	277	192	86	289	161	130	24	71	54	142	625	167	602	366
ENSG00000008294	11095	8228	3702	8322	4387	2195	8059	5005	10070	2405	2830	1837	7316	4606	2458	3861	4480
ENSG00000008300	3787	2235	508	6428	402	669	1223	1397	728	592	877	743	368	1456	726	1265	865
ENSG00000008311	170	54	30	72	126	164	142	51	43	196	122	90	909	219	120	57	42
ENSG00000008323	6	6	0	5	1	0	1	36	1	0	3	0	0	5	1	4	2
ENSG00000008324	101	69	28	164	45	40	65	39	62	65	42	25	66	62	24	48	60
ENSG00000008382	146	126	34	207	16	24	62	67	47	21	24	39	143	43	55	80	37
ENSG00000008394	10	69	5	34	63	20	61	30	65	11	15	0	128	74	8	86	37
ENSG00000008405	600	664	369	632	787	573	533	631	374	113	160	109	215	230	100	192	149
ENSG00000008438	1	8	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0
ENSG00000008441	2800	3093	577	6826	48	33	1105	1375	1009	463	1064	463	211	380	453	411	168
ENSG00000008513	3298	500	151	1300	142	45	766	593	899	54	101	53	171	231	952	394	415
ENSG00000008516	6	27	1	4	1	4	12	4	5	0	1	1	13	1	37	10	0
ENSG00000008517	32	22	7	22	23	6	13	12	9	9	26	15	24	11	6	4	0
ENSG00000008710	2470	1360	492	6470	260	258	999	1056	350	435	932	928	814	1535	1673	1919	641
ENSG00000008735	466	309	97	1138	69	85	360	308	116	104	174	83	94	276	162	396	124
ENSG00000008838	1313	1019	260	1102	305	214	337	424	358	176	228	127	377	300	240	446	285
ENSG00000008853	282	245	69	346	73	43	242	72	157	49	112	90	264	136	126	203	142
ENSG00000008869	1840	1603	602	2609	1174	923	1489	906	1600	563	534	243	1167	498	303	607	530
ENSG00000008952	1132	1317	465	1270	761	894	841	574	1492	726	325	200	735	614	311	597	580
ENSG00000008988	3732	2721	3114	11261	3134	1962	1586	742	2503	3116	2780	1770	7934	1839	2261	2974	2528
ENSG00000009307	6791	5271	3972	4453	8055	3335	3398	1853	5685	2786	2607	1730	5613	3621	2263	4692	3469
ENSG00000009335	2041	1571	859	1864	1159	852	1272	950	1574	425	514	303	726	1072	523	1058	701
ENSG00000009413	2384	3073	566	2611	1602	3766	3019	1562	2684	598	382	110	1335	556	352	485	710
ENSG00000009694	1235	4765	1139	3253	373	712	3746	3979	2015	51	460	12	484	3316	669	532	820
ENSG00000009709	0	0	3	1	0	0	0	3	0	0	0	0	239	0	0	1	1
ENSG00000009724	1	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0
ENSG00000009765	17	52	23	113	19	29	34	45	17	24	19	6	65	37	22	25	24
ENSG00000009780	380	214	136	460	194	117	244	205	186	106	113	106	199	224	87	233	97
ENSG00000009790	8	8	0	7	0	3	8	0	7	6	3	1	18	1	5	0	3
ENSG00000009830	54	7	14	85	64	0	48	29	14	5	21	23	0	23	15	0	51
ENSG00000009844	1749	1099	497	1316	794	516	1197	796	1276	354	369	226	803	289	131	455	228
ENSG00000009950	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ENSG00000009954	5709	3339	1606	7113	1711	2044	3462	2058	3555	1498	1096	885	2875	2110	1086	2057	1488
ENSG00000010017	2098	1326	640	2274	742	691	925	920	1181	417	498	244	1201	421	174	483	253
ENSG00000010030	7	12	1	7	7	6	12	6	4	5	4	2	5	7	2	2	2
ENSG00000010072	293	301	142	593	250	182	169	179	200	123	104	50	226	159	88	170	154
ENSG00000010165	345	347	132	733	228	98	218	270	237	112	173	182	171	128	114	244	175
ENSG00000010219	66	54	34	41	32	62	26	42	22	3	14	15	60	35	9	33	17
ENSG00000010244	6186	7900	1799	8022	2156	3055	3547	4816	2949	2094	1721	840	3927	3052	1688	2069	1298
ENSG00000010256	669	666	200	995	503	244	330	253	430	370	302	180	434	295	181	487	347
ENSG00000010270	682	406	212	294	429	137	211	191	889	141	130	100	298	184	70	300	186
ENSG00000010278	84	93	240	30	147	78	155	87	146	11	6	36	143	96	54	61	249
ENSG00000010282	1	2	0	0	8	0	14	0	0	0	0	0	10	12	0	0	22
ENSG00000010292	927	805	385	2504	368	408	300	329	545	492	220	231	711	451	380	648	368
ENSG00000010295	144	81	22	231	28	29	74	39	51	20	27	26	107	48	45	94	60
ENSG00000010310	3	8	4	10	0	8	13	110	2	1	1	2	12	3	8	2	2
ENSG00000010318	40	14	20	25	7	7	9	15	21	13	5	1	11	19	9	29	9
ENSG00000010319	41	46	71	49	11	8	32	47	2	3	14	3	45	12	14	45	4
ENSG00000010322	1755	2061	1229	7140	705	905	1213	1104	606	423	425	281	753	1307	1006	1691	848
ENSG00000010327	418	136	68	347	181	36	107	195	43	134	311	101	295	122	124	231	217
ENSG00000010361	68	71	52	122	36	13	37	30	17	34	53	17	108	28	14	76	33
ENSG00000010379	24	15	7	15	1	9	22	17	3	5	12	3	12	2	4	6	4
ENSG00000010404	1001	1032	371	1086	182	176	746	1074	1623	287	592	71	323	358	121	399	390
ENSG00000010438	0	0	0	0	0	0	3	0	2	0	0	0	5	0	0	3	1
ENSG00000010539	213	182	66	193	114	63	110	78	150	44	35	31	114	55	39	57	46
ENSG00000010610	150	78	16	74	58	26	53	62	42	54	138	43	144	54	15	88	47
ENSG00000010626	55	32	23	67	26	24	28	46	34	4	12	13	59	10	9	31	28
ENSG00000010671	19	0	0	6	0	7	15	2	21	14	8	8	38	5	0	7	14
ENSG00000010704	11	17	3	18	19	4	8	8	4	10	22	4	18	40	24	30	14
ENSG00000010803	716	751	436	1559	338	344	397	441	372	153	183	58	417	386	174	355	230
ENSG00000010810	4012	2212	641	2872	926	161	2048	1382	2387	468	670	399	701	897	584	1522	745
ENSG00000010818	633	239	325	2707	124	159	350	391	634	257	747	248	616	90	133	532	366
ENSG00000010932	1	0	0	0	0	1	1	0	0	1	0	5	0	0	6	0	0
ENSG00000011007	1532	1261	580	2726	517	531	995	656	942	377	445	247	928	468	289	576	430
ENSG00000011009	157	127	48	277	73	47	61	68	83	37	52	28	74	96	55	165	78
ENSG00000011021	457	392	139	1037	60	190	274	236	318	142	148	90	287	218	171	237	168
ENSG00000011028	231	66	19	214	134	76	63	95	27	96	182	191	544	462	580	227	346
ENSG00000011052	66	74	101	163	138	42	15	23	10	39	7	0	20	43	27	52	48
ENSG00000011083	3	7	0	1	0	1	10	4	19	0	5	0	11	0	0	30	0
ENSG00000011105	1677	606	663	2508	450	1020	752	665	728	35	162	45	163	4169	3352	4597	2551
ENSG00000011114	936	1293	473	2080	443	696	693	406	606	490	286	228	489	415	304	411	365
ENSG00000011132	42	12	26	62	18	13	7	24	6	9	13	0	12	13	3	37	11
ENSG00000011143	140	62	94	109	112	25	73	45	41	31	36	35	72	86	56	122	94
ENSG00000011198	493	542	182	729	279	311	514	412	412	153	186	61	376	227	78	266	104
ENSG00000011201	151	2106	199	463	523	719	509	160	407	64	14	50	793	112	81	194	60
ENSG00000011243	300	117	129	1092	108	127	154	199	105	32	47	42	212	93	89	203	78
ENSG00000011258	1269	1288	619	1934	764	693	917	726	1163	714	500	267	864	535	353	390	334
ENSG00000011260	729	453	263	718	472	166	723	221	594	216	185	112	327	277	181	332	253
ENSG00000011275	975	691	257	1285	232	214	367	561	631	132	147	126	358	357	291	375	254
ENSG00000011295	197	221	188	756	227	263	344	362	57	204	174	127	366	425	57	212	197
ENSG00000011304	872	542	383	2196	259	261	308	337	266	505	441	330	1098	732	376	1207	429
