Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
NMB178,0.136025432503069,0,0.039610809491759,0.353484804255346,0,0.094841305630219,0,0.0587614140665901,0.104645459647089,0,0.0539385763173988,0.108018817635343,0.119251376131124,0.0331289756050828,0.0650756481074449,0.470777721110281,0.0139109518094145,0,0,0.157531228170755,0.0217326273723538,0,0,0.405217212176414,0.914638633179387,1.83073514785327
NMB18,0.0812828687000589,0,0.00525882602627152,0.165236902585548,0,0.255711627356791,0,0.0722827193845133,0.0535609636511954,0,0.0928956229312573,0.0122187818995361,0.0842213536784747,0,0.0289012369724734,0.344879091484785,0.0320555770607487,0.0122976272549959,0,0.13533534403087,0.034279602968885,0,0,0.54214951491962,0.844719596098448,1.4104181459864
NMB180,0.144611371311651,0,0.0190419913350009,0.376609617725387,0,0.175722510160601,0,0.169105858668672,0.0804039568303462,0,0,0.170091057022863,0.125307482579765,0.051960602213724,0.0673257187367784,0.355322093127407,0.00389032108260388,0,0,0.193526368430372,0.0582222370960725,0,0,0.46685368712175,0.883419748361947,1.99114118632124
NMB181,0.188177050224657,0,0.0708859169327281,0.228751548288516,0,0.22292402246699,0.0389745596003771,0.0953880631000778,0.0791262982235597,0,0.12198449760094,0.0334649790388165,0.0881925945626024,0.199960161748896,0.0185984042351637,0.268256796903614,0.0104564907754226,0.0240049482880525,0.0699682034007801,0.0725305200244547,0.0533748395564827,0.0211630934178927,0.0600000000000001,0.155532028649416,1.02123245225551,1.90618298839002
NMB182,0.191521934239686,0,0.0380553063864154,0.347929206635287,0,0.119017937493678,0,0.0629515643321603,0.0528891767157565,0,0,0.155758687446263,0.0936167136813189,0.194003709865773,0.0493708111183543,0.399211698611663,0,0,0,0.416841035756524,0.0186058263634267,0,0,0.519738058293717,0.854387196187199,2.13977360864631
NMB185,0.0540585337277178,0.0218766130256629,0.0234740527172411,0.263837191279754,0,0.157885771194481,0,0.0426162558714603,0.0364732706213122,0,0,0.127490817232427,0.141493104743555,0.0186462411674629,0.0301963009428799,0.287850681757791,0.0169908552999408,0.00022966540455333,0,0.377207722790768,0.0499753545135864,0,0,0.564613733485946,0.827872141568329,1.65030243229059
NMB186,0.12027368344489,0.034363670523727,0.0519707781129599,0.411009196670014,0,0.182798371238457,0,0.073484830922866,0.0992114136807473,0,0,0.164026880179307,0.11960284950418,0.073602982805387,0.0817685649560194,0.428976043096221,0.0112553349439106,0,0.00884135900077177,0.147082603467502,0.0820212718259684,0.00694080822621122,0.01,0.211535593749817,1.00613583809109,2.09723064259914
NMB187,0.152795952354437,0,0.0769661206287182,0.274956554215975,0,0.176622249833794,0,0.0335916075793232,0.0731869224146877,0,0.0349406119494288,0.129240034474465,0.160530755071409,0.0905936099183557,0.0208809599695582,0.333094267141781,0.0351706527990419,0.00507461014738252,0.0161387401346777,0.192288190306242,0.0296155542785328,0,0,0.328900533005854,0.949806379243156,1.83568739321781
NMB189,0.164056002516348,0,0.0935295881428471,0.315398191552195,0,0.0878786944618898,0,0.0483690492522508,0.115740352346098,0,0.0182059322662845,0.123105868780735,0.0836998413815432,0.0560608092882197,0.052949284738171,0.389351287189777,0.00667077798193914,0,0,0.270838998499275,0.0216520426959927,0,0,0.502910401586141,0.865077774539048,1.84750672109356
NMB190,0.0766260213725376,0.0161521430463163,0.0534746261609383,0.196342143702793,0,0.219890599604057,0,0.0439720964357189,0.116272771001485,0.0201722651019743,0,0.190920774180281,0.0522495829123316,0.134745122358868,0.0395374861005329,0.398012341226154,0.0950317944950042,0,0,0.164413169320902,0.0677687945039427,0.00142909579222632,0,0.412384556438236,0.911174340826678,1.88701082731606
NMB199,0.0921481658376174,0.0144998238580539,0.0315317145920892,0.427851057914953,0,0.00808893483108157,0,0.108295673294232,0.111851341338094,0,0.0190345145501073,0.117076024512043,0.0978321449238509,0.181427792016829,0.031267278650505,0.324251254294342,0.0120614042118095,0,0,0.31004851915071,0.0339831518109933,0,0,0.466147646391342,0.883788939038657,1.92124879578731
NMB206,0.118563938856471,0.00161928560530403,0.0655946916265401,0.202458221627732,0,0.146246863366313,0.0575861196685235,0.0720221159388035,0.0482080650017636,0,0.085355575669807,0.0716709395707763,0.084867131871659,0.0969593728553497,0.0236088265400321,0.263254805527434,0.0161489800910149,0.0196188750668168,0,0.226861643707258,0.0359769899964457,0.00272117374886807,0,0.391307198660458,0.920530805377056,1.63934361633691
NMB210,0.0867109414407636,0,0.0314763609866977,0.144428616915477,0,0.0836471951121377,0.0288927395958779,0.0968980900592565,0,0,0.00514730808671075,0.0939752568292836,0.0901305263816091,0,0.0207459596692284,0.188596669544852,0.0359434597476459,0.0207230313853361,0,0.213940040339511,0.0369613891649006,0.00604852069682739,0,0.598506732300183,0.813297785711277,1.18426610595611
NMB216,0.0699291263134734,0.00656301348830232,0.0128369136446953,0.223762125117241,0,0.164831288396908,0,0.0738899262692484,0.00417913396854199,0,0,0.157152915366716,0.0708738836640579,0,0.0266950378212588,0.213807652329922,0.0290085481580329,0.0102209356546771,0,0.217031603985518,0.0276015299946409,0.0186208732267389,0,0.644984952511079,0.777184481161998,1.32700450739997
NMB217,0.0867605695504333,0.0167734169494508,0.00537772562426023,0.242766488118573,0,0.0430830594735701,0,0.138610779408815,0,0,0.0183957025578394,0.0958985723744815,0.093651316198373,0.114969700868904,0.0265664993544943,0.216183758025527,0.0242932161590936,0.0170017716938775,0,0.231435222605298,0.0411540094954099,0,0,0.603737392130802,0.808447242961678,1.4129218084584
NMB227,0.0688053636137433,0,0.0247051014687673,0.466251663496042,0,0,0,0.0681952578769338,0.159062718813194,0,0,0.200055716654934,0.0987309111176243,0.113215665329962,0.0276727234431326,0.254715693138933,0.0351732272750676,0,0,0.380562379210038,0.0343524237886618,0,0,0.58749589387976,0.811746334089374,1.93149884522703
NMB250,0.0797859554627763,0,0.36378056599302,0.59244783099627,0,0.0185953447523407,0,0.0746305758503159,0.153303424123484,0,0.0134701190148154,0.246551998086867,0.178622652692334,0.0320467390148056,0.0357510420935262,0.330781938433069,0.0330818955265625,0,0,0.24746402860863,0.0300302177229382,0,0,0.476849164248406,0.878423073879081,2.43034432837176
NMB257,0.0838260425021015,0,0.0265229398272991,0.145336029276703,0,0.307735790938588,0,0,0.0837100610025078,0.0137034382733105,0,0.258279321832018,0.0920350869791228,0.0119354038756408,0.0467524755100406,0.32029364974068,0.0346890199160746,0,0,0.267407908029878,0.0452025933328772,0,0,0.457004418983817,0.890088701386615,1.73742976103684
NMB258,0.106104938571254,0.019451947656207,0.0696398988840422,0.360018736202922,0,0.136832680837399,0,0.0773832309990737,0.154173599972148,0,0.0264568051701381,0.106582274485056,0.174664410850166,0.123771249625209,0.0850906254108852,0.626214337056347,0.0103717246873641,0,0,0.222357670518705,0.0122187606134861,0,0,0.385017777793522,0.923936903744698,2.3113328915404
NMB259,0.0680275663154512,0.0464703802736169,0.0419608347071336,0.378096082984657,0,0.185769286109054,0,0.0883703924992252,0.0498998302728806,0,0,0.110297746322027,0.236628074003489,0,0.02682826431028,0.204383412433974,0.01810216104541,0.00134690670290871,0,0.621057368092354,0.048008067274134,0,0,0.518840776927339,0.854045820649692,2.12524637334659
NMB265,0.0924667184390932,0,0.0224259265764743,0.397903942393251,0,0.0312964833665365,0,0.0553441966692948,0.0787369087375078,0,0.000224341135669029,0.162296102827905,0.127840134664431,0.0700155544613855,0.0475463801660891,0.240154845157295,0.0081383513672801,0,0,0.314038323487501,0.0459964359089183,0,0,0.523099382461887,0.851809756310685,1.69442464535863
NMB266,0.202330462176615,0,0.099447514656044,0.406541957898041,0,0.172904219474665,0,0.0673501957800701,0.110219801348525,0,0.000618095039732053,0.166255103831956,0.084281291958635,0.0654881541077672,0.0227473053984116,0.385600079063779,0.00345685268753184,0,0,0.186533551973457,0.0219729848238524,0,0,0.380931097252709,0.927128606217176,1.99574757021908
NMB267,0.171118615742819,0,0.0557864340227869,0.158680358337338,0,0.319262035682273,0,0.0785594903772709,0.106113746482437,0,0,0.126023996424727,0.273865937545548,0.107086957435466,0.0244892725728062,0.275661664330447,0,0.00489990464886211,0,0.436159687559653,0.0256493260815348,0,0,0.430448671435278,0.902073980926695,2.16335742724397
NMB269,0.0824451600963019,0,0.0462690324349265,0.16610372981244,0,0.169117217050419,0,0.019680403412612,0.0985428891044365,0,0,0.147769031828914,0.109250960795656,0.0633896730816583,0.0260251115119324,0.314406416586181,0.0145886780970606,0.00377116196418027,0.021448017900501,0.107968964921545,0.0417936750403937,0.000215701753637787,0,0.388801368203925,0.922516977870711,1.4327858253928
NMB273,0.0654743381472667,0,0.00389785343726582,0.476872432375047,0,0,0,0.0492728085007947,0.0914451464227609,0,0.0432648746622583,0.0339677754804222,0.0839341677065919,0.132366506055141,0.0201058795938775,0.23810915069584,0,0.0040072885602363,0.0195149201577259,0.0568739862899881,0.0159704292378806,0.000132942635787916,0,0.591394235178782,0.811488621264288,1.33521049995888
NMB276,0.102853002080314,0.0195953053228161,0.0672605925592216,0.240363656534184,0,0.106953956305918,0,0.0636363162469146,0.0922197000362339,0,0.0127893106436181,0.120076431226105,0.129096452201121,0.0921028337233223,0.0275519710844737,0.259020285942116,0.0116142301491651,0.00178236752953651,0,0.210734638376914,0.0278840140023927,0,0,0.433147625531114,0.900480230616259,1.58553506396437
NMB283,0.084187036619324,0,0.0485948906939702,0.307943258109708,0,0.0361367876767164,0,0.0618762198987834,0.0881459165491809,0,0,0.118986459894647,0.057416998878371,0.0747860117196905,0.0428378165045316,0.325192413092869,0.0219905248003685,0,0,0.21541078551764,0.0257696508605928,0,0,0.458510586829382,0.887765408213799,1.50927477081639
NMB318,0.0527420099678912,0.0307038723589688,0.0877272287197194,0.155928356475008,0,0.117335012101435,0,0.0404955377033101,0.132228103910849,0.00481846858869691,0.046972261083079,0.178286580262792,0.10167291073115,0.206120565469041,0.0132723988278791,0.366191973439813,0.0139175471563356,0.0199138150628735,0,0.372061088695781,0.0568775402607097,0,0,0.391279872254355,0.923367306587496,1.99726527081533
NMB347,0.133047955154983,0,0.0255926439697399,0.211442973287565,0,0.184002798438792,0,0.0967828886690958,0.0370860769762151,0,0.0676980271354711,0.0533453122281187,0.138011452389503,0.041861979092257,0.021088040804248,0.323789892394752,0.0287073106160628,0.00959609839227636,0.0134223877791372,0.133282180612466,0.0485781969003544,0,0,0.402910270136227,0.914759687532109,1.56733621484104
NMB357,0.20281591605435,0,0.06607598718062,0.305133932536214,0,0.105013952281492,0,0.0955140176394573,0.00920970284314145,0,0.0451573736990136,0.150308449208517,0.136280006905949,0.0575211619794157,0.0564947575748651,0.408071304697714,0.00758980063342245,0,0,0.131536845400492,0.0721338307020582,0.000924892047974755,0.01,0.223267204352443,0.998268292886389,1.8497819313847
NMB358,0.12510332211135,0,0.0430589550274122,0.38268904256341,0,0.0655512877458309,0,0.0497128236662052,0.110054181264015,0,0.0568453839501534,0.0952953101621554,0.11715009707996,0.0892025139746939,0.0284844062998272,0.381719258591345,0.00715240362933699,0,0,0.238082527582937,0.0292844706779152,0,0,0.381027710231071,0.926963340636252,1.81938598432655
NMB360,0.184782521312268,0,0.122594252298696,0.262602465565447,0,0.131459644615506,0,0.0464139334610433,0.205467207748344,0,0,0.241032730900751,0.176122566287316,0.160678420057901,0.0295744023590322,0.322453974122999,0.0204392194467774,0,0,0.306217926177222,0.0386258715221047,0,0.01,0.203619674157246,1.01028779937938,2.24846513587541
